0,04-07-2025 20:56:24,Hardware monitoring log v1.6,,,,,,,,,,,,,,
1,04-07-2025 20:56:24,NVIDIA GeForce RTX 2070,,,,,,,,,,,,,,
2,04-07-2025 20:56:24,GPU temperature,GPU usage,Framerate,BUS usage,Memory usage,Memory clock,Power percent,Power,Fan speed,No load limit,CPU temperature,CPU8 usage,CPU usage,CPU power,RAM usage
3,04-07-2025 20:56:24,0,°C,0,100,10,,,,,,,,,,
3,04-07-2025 20:56:24,1,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:56:24,2,FPS,0,200,10,,,,,,,,,,
3,04-07-2025 20:56:24,3,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:56:24,4,MB,0,8192,10,,,,,,,,,,
3,04-07-2025 20:56:24,5,MHz,0,7500,10,,,,,,,,,,
3,04-07-2025 20:56:24,6,%,0,150,10,,,,,,,,,,
3,04-07-2025 20:56:24,7,W,0,300,10,,,%.1f,,,,,,,
3,04-07-2025 20:56:24,8,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:56:24,9,,0,1,10,,,,,,,,,,
3,04-07-2025 20:56:24,10,°C,0,100,10,,,,,,,,,,
3,04-07-2025 20:56:24,11,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:56:24,12,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:56:24,13,W,0,200,10,,,%.1f,,,,,,,
3,04-07-2025 20:56:24,14,MB,0,16384,10,,,,,,,,,,
80,04-07-2025 20:56:24,38,38,119.9,1,2395.523,7000.98,29,53.5,43,1,88,68.895,67.858,93.789,14879
80,04-07-2025 20:56:25,38,40,66.9,1,2426.148,7000.98,38,52.419,43,1,83,62.937,64.724,98.065,15079
80,04-07-2025 20:56:26,39,24,120.9,1,2400.836,7000.98,26,52.277,43,1,69,29.528,34.545,55.563,15041
80,04-07-2025 20:56:27,38,29,50.9,1,2427.293,7000.98,24,45.865,43,1,72,38.795,33.287,50.688,15077
80,04-07-2025 20:56:28,38,27,120.7,1,2435.844,7000.98,26,46.906,43,1,69,18.569,24.525,37.276,15040
80,04-07-2025 20:56:29,38,39,118.9,1,2439.125,7000.98,25,47.084,43,1,73,41.676,49.082,65.967,15140
80,04-07-2025 20:56:30,38,38,119.9,1,2494.344,7000.98,26,47.296,43,1,78,50.735,53.6,75.64,15187
80,04-07-2025 20:56:31,38,28,51.9,1,2557.469,5000.98,21,32.821,43,1,84,74.416,73.463,95.009,15459
80,04-07-2025 20:56:32,38,25,64.3,1,2550.883,7000.98,21,36.603,43,1,92,99.341,98.32,128.788,15448
80,04-07-2025 20:56:33,38,24,100,1,2529.711,7000.98,21,45.112,43,1,92,100,99.901,130.915,15360
80,04-07-2025 20:56:34,39,27,106.2,1,2542.719,7000.98,26,47.529,43,1,95,92.905,87.691,126.006,15153
80,04-07-2025 20:56:35,38,23,28.9,1,2534.094,5000.98,16,28.42,43,1,97,80.424,75.543,113.48,15222
80,04-07-2025 20:56:36,37,5,22,0,2399.953,810,17,23.032,43,1,98,97.255,94.074,130.985,15327
80,04-07-2025 20:56:37,41,42,113.5,1,2403.766,7000.98,26,64.578,43,1,96,85.829,83.989,121.367,15323
80,04-07-2025 20:56:38,42,35,105.4,3,2391.078,7000.98,42,81.328,43,0,98,91.471,84.434,123.66,15330
80,04-07-2025 20:56:39,43,35,110.8,2,2377.953,7000.98,55,91.572,43,0,97,82.875,83.704,119.795,15321
80,04-07-2025 20:56:40,44,37,109.9,2,2348.074,7000.98,54,91.512,43,0,100,87.282,82.69,120.722,15322
80,04-07-2025 20:56:41,44,38,116.8,2,2348.074,7000.98,54,95.234,43,0,86,75.753,74.02,112.347,15324
80,04-07-2025 20:56:42,45,42,119.7,4,2340.699,7000.98,55,103.608,43,0,76,41.487,51.646,69.19,15324
80,04-07-2025 20:56:43,45,43,120,4,2332.121,7000.98,63,98.09,43,0,72,28.175,41.948,62.064,15318
80,04-07-2025 20:56:44,45,40,118.9,4,2315.934,7000.98,52,96.025,43,0,69,67.052,67.161,94.45,15330
80,04-07-2025 20:56:45,46,39,115.8,3,2315.934,7000.98,53,101.538,43,0,77,62.523,67.816,89.936,15314
80,04-07-2025 20:56:46,46,39,119.9,3,2332.379,7000.98,50,95.037,43,0,76,43.377,54.009,75.63,15337
80,04-07-2025 20:56:47,47,41,119.8,4,2338.629,7000.98,62,99.011,43,0,77,32.924,45.734,59.336,15321
80,04-07-2025 20:56:48,47,44,120.4,4,2341.254,7000.98,63,104.725,43,0,72,32.836,44.434,57.465,15316
80,04-07-2025 20:56:49,47,44,119.7,4,2336.379,7000.98,49,92.485,43,0,86,35.461,45.15,59.383,15322
80,04-07-2025 20:56:50,47,39,120.4,4,2336.504,7000.98,56,95.503,43,0,74,51.234,58.781,73.455,15292
80,04-07-2025 20:56:51,47,41,119.8,4,2340.254,7000.98,62,100.349,43,0,76,60.527,59.454,79.269,15350
80,04-07-2025 20:56:52,48,42,120.3,4,2342.691,7000.98,56,99.388,43,0,71,29.636,40.948,47.091,15251
80,04-07-2025 20:56:53,48,41,119.9,4,2322.934,7000.98,53,101.363,43,0,67,64.319,67.246,88.772,15269
80,04-07-2025 20:56:54,49,44,119.6,4,2322.934,7000.98,53,100.347,43,0,72,32.326,43.375,59.352,15242
80,04-07-2025 20:56:55,49,43,114.7,4,2338.934,7000.98,59,111.949,43,0,89,55.028,62.439,85.001,15242
80,04-07-2025 20:56:56,50,49,119.9,4,2338.934,7000.98,62,105.933,43,0,73,58.518,68.846,92.785,15260
80,04-07-2025 20:56:57,50,45,119.6,3,2335.184,7000.98,59,111.221,43,0,76,34.239,46.339,59.757,15278
80,04-07-2025 20:56:58,50,48,110.6,4,2351.184,7000.98,68,119.299,43,0,90,69.338,74.35,109.109,15272
80,04-07-2025 20:56:59,51,48,120.8,4,2351.184,7000.98,70,111.198,43,0,87,55.393,65.59,94.821,15276
80,04-07-2025 20:57:00,51,50,119.8,5,2361.52,7000.98,66,112.237,43,0,81,52.155,62.622,81.664,15204
80,04-07-2025 20:57:01,51,50,114.9,5,2369.707,7000.98,49,103.118,43,0,93,63.54,69.849,94.845,15257
80,04-07-2025 20:57:02,52,47,116.5,4,2369.707,7000.98,63,111.507,43,0,78,59.275,67.624,97.114,15177
80,04-07-2025 20:57:03,52,50,119.8,5,2369.707,7000.98,68,109.618,43,0,73,44.044,55.624,74.034,15174
80,04-07-2025 20:57:04,52,49,115.1,5,2369.707,7000.98,65,111.217,43,0,82,56.688,63.831,92.047,15180
80,04-07-2025 20:57:05,52,48,119.9,4,2369.707,7000.98,58,112.816,43,0,78,47.129,58.94,81.305,15173
80,04-07-2025 20:57:06,53,50,118.7,5,2369.707,7000.98,57,111.06,43,0,85,65.848,70.471,95.875,15177
80,04-07-2025 20:57:07,52,49,121.1,4,2369.707,7000.98,65,111.228,43,0,78,40.684,54.892,76.156,15156
80,04-07-2025 20:57:08,53,50,119.9,5,2385.707,7000.98,70,111.019,43,0,80,44.526,56.587,78.607,15154
80,04-07-2025 20:57:09,53,50,120.1,5,2385.707,7000.98,59,110.924,43,0,75,37.722,53.111,68.525,15153
80,04-07-2025 20:57:10,53,49,119.9,5,2390.785,7000.98,58,110.966,43,0,85,43.929,55.765,74.655,15166
80,04-07-2025 20:57:11,54,45,110.1,4,2391.098,7000.98,62,110.763,43,0,82,74.781,79.518,112.037,15187
80,04-07-2025 20:57:12,54,49,119.9,5,2391.098,7000.98,69,112.209,43,0,76,38.067,53.609,75.58,15183
80,04-07-2025 20:57:13,55,49,120.1,5,2391.098,7000.98,67,112.447,43,0,75,34.948,50.245,67.998,15177
80,04-07-2025 20:57:14,55,50,119.8,5,2391.098,7000.98,60,112.809,43,0,80,47.571,59.35,80.617,15158
80,04-07-2025 20:57:15,55,49,120,5,2391.098,7000.98,58,112.307,43,0,82,69.768,70.276,96.92,15038
80,04-07-2025 20:57:16,53,49,119.6,5,2391.098,7000.98,32,96.501,43,0,77,58.597,58.376,83.199,14858
80,04-07-2025 20:57:17,55,43,98.2,4,2391.16,7000.98,57,106.541,43,0,89,53.745,61.121,81.833,14861
80,04-07-2025 20:57:18,56,47,120.8,3,2391.16,7000.98,59,112.224,43,0,76,45.393,60.712,82.169,14845
80,04-07-2025 20:57:19,55,49,120.1,5,2391.16,7000.98,51,101.31,43,0,78,38.645,50.156,69.892,14838
