0,04-07-2025 20:24:49,Hardware monitoring log v1.6,,,,,,,,,,,,,,
1,04-07-2025 20:24:49,NVIDIA GeForce RTX 2070,,,,,,,,,,,,,,
2,04-07-2025 20:24:49,GPU temperature,GPU usage,Framerate,BUS usage,Memory usage,Memory clock,Power percent,Power,Fan speed,No load limit,CPU temperature,CPU8 usage,CPU usage,CPU power,RAM usage
3,04-07-2025 20:24:49,0,°C,0,100,10,,,,,,,,,,
3,04-07-2025 20:24:49,1,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:24:49,2,FPS,0,200,10,,,,,,,,,,
3,04-07-2025 20:24:49,3,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:24:49,4,MB,0,8192,10,,,,,,,,,,
3,04-07-2025 20:24:49,5,MHz,0,7500,10,,,,,,,,,,
3,04-07-2025 20:24:49,6,%,0,150,10,,,,,,,,,,
3,04-07-2025 20:24:49,7,W,0,300,10,,,%.1f,,,,,,,
3,04-07-2025 20:24:49,8,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:24:49,9,,0,1,10,,,,,,,,,,
3,04-07-2025 20:24:49,10,°C,0,100,10,,,,,,,,,,
3,04-07-2025 20:24:49,11,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:24:49,12,%,0,100,10,,,,,,,,,,
3,04-07-2025 20:24:49,13,W,0,200,10,,,%.1f,,,,,,,
3,04-07-2025 20:24:49,14,MB,0,16384,10,,,,,,,,,,
80,04-07-2025 20:24:49,36,31,N/A,7,2335.648,405,9,14.663,43,1,80,33.905,38.051,63.251,15080
80,04-07-2025 20:24:50,36,18,N/A,5,2454.398,405,8,14.123,43,1,73,25.028,36.043,66.295,15105
80,04-07-2025 20:24:51,36,26,N/A,4,2583.398,405,8,14.676,43,1,82,51.848,46.144,70.417,15183
80,04-07-2025 20:24:52,36,34,N/A,2,2741.305,810,10,20.712,43,1,79,36.739,45.059,71.107,15196
80,04-07-2025 20:24:53,36,5,N/A,2,2853.305,810,10,17.768,43,1,69,19.802,26.769,46.076,15189
80,04-07-2025 20:24:54,36,7,N/A,4,2980.043,405,8,12.85,43,1,77,24.802,29.7,49.302,15042
80,04-07-2025 20:24:55,36,6,N/A,3,3054.309,405,8,12.663,43,1,67,30.871,32.335,57.531,14884
80,04-07-2025 20:24:56,36,18,N/A,1,3061.402,405,8,14.122,43,1,64,34.037,40.684,56.41,15005
80,04-07-2025 20:24:57,36,1,N/A,0,3053.277,405,8,12.416,43,1,78,25.878,29.213,48.095,15049
80,04-07-2025 20:24:58,36,1,N/A,0,3062.613,405,8,12.348,43,1,75,52,23.681,43.75,15153
80,04-07-2025 20:24:59,37,2,79,0,3098.094,7000.98,22,41.128,43,1,82,61.174,63.126,82.651,15385
80,04-07-2025 20:25:00,37,48,136.6,2,3133.879,7000.98,23,40.4,43,1,69,55.887,54.634,78.088,15254
80,04-07-2025 20:25:01,38,16,145.9,3,3118.688,7000.98,23,40.197,43,1,72,48.821,43.062,58.99,15338
80,04-07-2025 20:25:02,38,14,140.8,2,3187.148,7000.98,23,40.516,43,1,64,28.46,24.835,33.957,15190
80,04-07-2025 20:25:03,38,27,142.7,1,3188.023,7000.98,23,40.508,43,1,65,19.771,17.966,28.188,15168
80,04-07-2025 20:25:04,37,22,115.1,1,3212.621,810,14,24.611,43,1,65,19.696,20.863,31.178,15219
80,04-07-2025 20:25:05,38,28,143.7,1,3218.98,7000.98,24,44.653,43,1,61,24.994,21.499,31.219,15248
80,04-07-2025 20:25:06,38,29,141.5,0,3239.094,5000.98,25,43.515,43,1,69,43.065,39.217,51.882,15274
80,04-07-2025 20:25:07,38,21,141.3,1,3259.305,7000.98,23,41.114,43,1,62,33.554,34.118,49.364,15148
80,04-07-2025 20:25:08,38,32,142.8,1,3281.777,7000.98,24,41.028,43,1,65,22.239,18.725,31.113,15260
80,04-07-2025 20:25:09,38,22,126.2,1,3309.73,7000.98,23,38.373,43,1,73,32.486,31.405,44.857,15436
80,04-07-2025 20:25:10,38,28,54.4,0,3283.539,7000.98,20,36.79,43,1,75,31.284,33.504,47.986,15469
80,04-07-2025 20:25:11,37,15,21.6,0,3292.133,810,10,18.364,43,1,63,23.924,29.752,47.087,15380
80,04-07-2025 20:25:12,37,9,15.8,0,3230.5,810,11,17.655,43,1,61,37.313,37.365,51.754,15418
80,04-07-2025 20:25:13,36,15,9.9,1,3384.242,405,8,13.362,43,1,62,17.563,19.602,30.872,15453
80,04-07-2025 20:25:14,36,8,31.4,4,3399.18,405,9,16.914,43,1,66,26.219,25.278,41.692,15440
80,04-07-2025 20:25:15,36,37,45.6,1,3401.125,405,9,16.941,43,1,65,19.821,25.214,41.553,15434
80,04-07-2025 20:25:16,36,41,45.1,1,3425.879,810,10,19.648,43,1,56,21.254,24.563,33.014,15517
80,04-07-2025 20:25:17,38,25,154.4,0,3442.941,7000.98,24,38.907,43,1,68,35.406,34.101,49.686,15475
80,04-07-2025 20:25:18,38,29,157.6,1,3465.461,7000.98,21,40.55,43,1,76,40.098,41.296,56.38,15570
80,04-07-2025 20:25:19,39,20,92.5,1,3749.293,7000.98,41,61.531,43,1,68,40.249,46.406,68.593,15655
80,04-07-2025 20:25:20,48,50,147.9,1,3874.023,7000.98,89,171.562,43,0,75,52.018,49.44,64.117,15700
80,04-07-2025 20:25:21,48,97,155.4,5,4020.867,7000.98,93,174.397,43,0,81,79.937,75.568,98.43,15731
80,04-07-2025 20:25:22,46,99,98.6,5,4067.766,7000.98,101,96.402,43,0,75,54.562,54.256,75.069,15560
80,04-07-2025 20:25:23,48,63,157.4,3,4070.953,7000.98,85,168.529,43,0,74,48.859,45.051,64.224,15531
80,04-07-2025 20:25:24,50,98,154.1,4,4072.828,7000.98,100,176.894,43,0,70,65.477,51.234,70.059,15455
80,04-07-2025 20:25:25,51,99,148.4,4,4098.953,7000.98,101,174.346,43,0,69,42.065,35.021,46.561,15410
80,04-07-2025 20:25:26,46,96,148.6,4,4106.391,7000.98,30,53.058,43,0,62,29.907,30.871,44.596,15344
80,04-07-2025 20:25:27,52,59,98.1,3,4207.766,7000.98,97,171.27,43,0,68,37.731,34.713,47.281,15298
80,04-07-2025 20:25:28,52,98,148.7,4,4140.703,7000.98,97,148.696,43,0,68,46.893,43.961,61.273,15234
80,04-07-2025 20:25:29,53,98,149.9,4,4136.266,7000.98,101,174.837,43,0,69,46.51,36.495,54.247,15166
80,04-07-2025 20:25:30,52,98,142.4,4,4180.34,7000.98,52,175.645,43,0,68,56.222,48.502,66.617,15100
80,04-07-2025 20:25:31,48,94,98.9,4,4121.18,7000.98,34,60.151,43,0,78,29.793,22.979,34.216,15105
80,04-07-2025 20:25:32,47,11,196.2,0,4148.801,7000.98,33,59.397,43,0,65,24.101,29.239,45.83,15105
80,04-07-2025 20:25:33,45,12,137.5,1,4171.738,5000.98,16,29.93,43,1,76,44.14,43.873,58.495,15097
80,04-07-2025 20:25:34,44,10,18,0,3520.684,5000.98,16,29.389,43,1,75,55.453,45.058,71.586,14985
80,04-07-2025 20:25:35,44,15,26.8,0,3543.563,810,11,19.711,43,1,69,41.634,43.493,54.919,15065
80,04-07-2025 20:25:36,43,18,37,1,3600.203,810,10,18.521,43,1,72,37.703,44.235,69.041,15225
80,04-07-2025 20:25:37,43,23,27.1,1,3629.055,810,11,18.146,43,1,69,23.397,29.173,48.017,15237
80,04-07-2025 20:25:38,43,24,36.1,0,3632.551,405,9,14.495,43,1,67,14.323,18.794,34.382,15228
80,04-07-2025 20:25:39,42,34,34.3,0,3648.367,405,10,17.797,43,1,64,16.069,22.075,42.535,15264
80,04-07-2025 20:25:40,42,42,38.5,0,3669.281,810,11,19.374,43,1,68,23.136,28.096,46.542,15265
80,04-07-2025 20:25:41,42,23,38.6,0,3682.938,810,11,19.184,43,1,72,25.69,30.973,51.129,15335
80,04-07-2025 20:25:42,43,20,36.8,0,3698.43,7000.98,22,39.657,43,1,75,39.588,44.136,65.955,15458
80,04-07-2025 20:25:43,43,20,38.9,0,3758.402,7000.98,22,39.253,43,1,84,54.458,60.015,80.861,15659
80,04-07-2025 20:25:44,42,13,N/A,1,3794.598,810,12,21.275,43,1,82,82.059,83.787,110.122,15752
80,04-07-2025 20:25:45,42,30,47.2,0,3798.742,810,10,19.733,43,1,75,42.658,48.51,65.931,15813
80,04-07-2025 20:25:46,42,23,38.1,0,3812.191,810,12,20.015,43,1,87,85.471,81.821,107.779,15686
80,04-07-2025 20:25:47,42,29,39.2,0,3825.168,810,11,19.421,43,1,80,60.044,55.302,83.508,15660
80,04-07-2025 20:25:48,42,16,38.9,0,3836.316,810,11,19.545,43,1,72,55.013,50.196,81.142,15374
80,04-07-2025 20:25:49,41,20,39,0,3846.535,810,11,19.357,43,1,70,32.578,32.403,51.277,15529
80,04-07-2025 20:25:50,41,37,39,0,3868.25,810,11,19.372,43,1,75,32.521,30.602,48.798,15662
80,04-07-2025 20:25:51,41,25,38.8,1,3850.984,405,10,16.124,43,1,74,42.527,41.873,58.409,15402
80,04-07-2025 20:25:52,41,28,38.8,0,3861.363,405,8,16.066,43,1,62,17.467,19.005,28.338,15383
80,04-07-2025 20:25:53,41,36,38.8,1,3870.219,405,10,15.97,43,1,59,19.413,20.772,33.064,15355
80,04-07-2025 20:25:54,41,37,38.6,1,3882.23,405,10,15.927,43,1,60,10.444,15.348,24.375,15380
80,04-07-2025 20:25:55,41,36,38.5,1,3899.32,405,9,16.275,43,1,57,10.849,12.746,23.153,15410
80,04-07-2025 20:25:56,41,36,38.8,1,3906.633,405,9,15.814,43,1,57,26.738,26.78,33.982,15505
80,04-07-2025 20:25:57,41,36,38.8,1,3919.984,405,8,15.798,43,1,57,10.906,14.35,25.958,15488
80,04-07-2025 20:25:58,40,36,38.8,0,3934.27,405,8,16.018,43,1,58,13.483,15.583,23.616,15597
