0,04-07-2025 19:25:17,Hardware monitoring log v1.6,,,,,,,,,,,,,,
1,04-07-2025 19:25:17,NVIDIA GeForce RTX 2070,,,,,,,,,,,,,,
2,04-07-2025 19:25:17,GPU temperature,GPU usage,Framerate,BUS usage,Memory usage,Memory clock,Power percent,Power,Fan speed,No load limit,CPU temperature,CPU8 usage,CPU usage,CPU power,RAM usage
3,04-07-2025 19:25:17,0,°C,0,100,10,,,,,,,,,,
3,04-07-2025 19:25:17,1,%,0,100,10,,,,,,,,,,
3,04-07-2025 19:25:17,2,FPS,0,200,10,,,,,,,,,,
3,04-07-2025 19:25:17,3,%,0,100,10,,,,,,,,,,
3,04-07-2025 19:25:17,4,MB,0,8192,10,,,,,,,,,,
3,04-07-2025 19:25:17,5,MHz,0,7500,10,,,,,,,,,,
3,04-07-2025 19:25:17,6,%,0,150,10,,,,,,,,,,
3,04-07-2025 19:25:17,7,W,0,300,10,,,%.1f,,,,,,,
3,04-07-2025 19:25:17,8,%,0,100,10,,,,,,,,,,
3,04-07-2025 19:25:17,9,,0,1,10,,,,,,,,,,
3,04-07-2025 19:25:17,10,°C,0,100,10,,,,,,,,,,
3,04-07-2025 19:25:17,11,%,0,100,10,,,,,,,,,,
3,04-07-2025 19:25:17,12,%,0,100,10,,,,,,,,,,
3,04-07-2025 19:25:17,13,W,0,200,10,,,%.1f,,,,,,,
3,04-07-2025 19:25:17,14,MB,0,16384,10,,,,,,,,,,
80,04-07-2025 19:25:17,34,10,N/A,1,1243.758,405,7,12.653,43,1,59,8.71,14.479,21.55,13403
80,04-07-2025 19:25:18,34,7,N/A,0,1241.195,405,8,12.279,43,1,57,10.126,16.734,34.309,13399
80,04-07-2025 19:25:19,34,8,N/A,0,1241.008,405,8,12.449,43,1,65,8.26,12.72,25.745,13390
80,04-07-2025 19:25:20,34,6,N/A,0,1241.008,405,7,13.007,43,1,56,8.878,14.077,28.758,13381
80,04-07-2025 19:25:21,34,14,N/A,0,1232.633,405,10,15.659,43,1,64,35.677,32.537,54.69,13453
80,04-07-2025 19:25:22,35,29,N/A,0,1229.133,7000.98,21,37.08,43,1,59,30.324,28.365,41.573,13427
80,04-07-2025 19:25:23,35,3,N/A,0,1229.008,810,10,30.977,43,1,55,13.647,16.459,21.541,13389
80,04-07-2025 19:25:24,34,3,N/A,0,1227.383,405,7,13.24,43,1,57,9.569,12.427,11.222,13386
80,04-07-2025 19:25:25,34,6,N/A,0,1227.383,405,8,12.572,43,1,52,8.427,12.243,15.608,13385
80,04-07-2025 19:25:26,34,6,N/A,0,1227.383,405,7,13.531,43,1,59,12.697,13.153,20.226,13389
80,04-07-2025 19:25:27,34,23,N/A,0,1224.633,405,9,16.102,43,1,57,22.893,16.331,30.14,13393
80,04-07-2025 19:25:28,34,30,N/A,0,1229.133,405,9,16.412,43,1,58,10.662,17.149,31.801,13397
80,04-07-2025 19:25:29,34,25,N/A,1,1229.133,405,8,13.92,43,1,54,8.751,12.203,23.804,13396
80,04-07-2025 19:25:30,34,9,N/A,0,1233.445,405,9,13.718,43,1,62,18.302,21.031,28.671,13415
80,04-07-2025 19:25:31,34,28,N/A,0,1232.008,810,9,17.657,43,1,64,44.534,47.243,65.125,13467
80,04-07-2025 19:25:32,34,14,N/A,0,1245.352,810,10,18.403,43,1,74,22.208,26.699,42.969,13486
80,04-07-2025 19:25:33,34,14,N/A,1,1245.227,405,8,13.506,43,1,64,43.432,37.015,56.706,13476
80,04-07-2025 19:25:34,34,6,N/A,0,1241.648,405,8,15.831,43,1,57,10.836,13.989,23.21,13467
80,04-07-2025 19:25:35,34,14,N/A,0,1241.086,405,8,13.761,43,1,53,11.565,15.71,18.202,13464
80,04-07-2025 19:25:36,34,11,N/A,0,1240.117,405,8,13.686,43,1,53,18.037,20.238,32.766,13519
80,04-07-2025 19:25:37,34,11,N/A,0,1237.93,405,7,13.45,43,1,63,7.993,11.771,16.576,13500
80,04-07-2025 19:25:38,34,18,N/A,0,1232.93,405,8,13.312,43,1,53,10.563,13.18,23.47,13494
80,04-07-2025 19:25:39,34,19,N/A,0,1232.93,405,8,13.916,43,1,65,14.037,17.86,23.153,13485
80,04-07-2025 19:25:40,36,21,0,0,1283.648,7000.98,21,37.76,43,1,70,38.784,40.14,54.939,13486
80,04-07-2025 19:25:41,36,7,0,0,1322.93,7000.98,21,37.314,43,1,70,31.945,33.479,45.187,13504
80,04-07-2025 19:25:42,35,3,0,1,1360.555,405,9,17.527,43,1,66,20.132,28.358,37.995,13532
80,04-07-2025 19:25:43,34,7,0,1,1403.148,405,7,13.519,43,1,66,21.757,30.186,42.173,13534
80,04-07-2025 19:25:44,34,13,0,2,1448.523,405,8,13.166,43,1,69,20.888,32.696,45.932,13563
80,04-07-2025 19:25:45,34,8,0,1,1485.117,405,8,13.383,43,1,68,45.138,35.326,49.409,13557
80,04-07-2025 19:25:46,34,10,0,1,1526.586,405,8,15.552,43,1,73,23.674,28.902,42.718,13581
80,04-07-2025 19:25:47,34,17,0,1,1579.367,405,8,15.328,43,1,67,37.763,39.91,58.05,13598
80,04-07-2025 19:25:48,36,33,12.2,1,1703.387,7000.98,23,39.35,43,1,71,28.485,32.724,49.412,13674
80,04-07-2025 19:25:49,36,11,12.2,0,1686.637,7000.98,21,37.326,43,1,71,20.48,32.987,54.972,13681
80,04-07-2025 19:25:50,36,7,0,0,1878.824,7000.98,21,37.004,43,1,74,53.103,54.639,79.413,13646
80,04-07-2025 19:25:51,36,2,0,0,2089.602,7000.98,21,37.295,43,1,66,36.884,37.829,56.026,13721
80,04-07-2025 19:25:52,35,1,0,0,2026.727,405,9,18.29,43,1,63,19.59,22.324,40,13666
80,04-07-2025 19:25:53,35,5,0,0,2036.52,405,8,12.423,43,1,70,36.685,26.376,45.053,13652
80,04-07-2025 19:25:54,36,30,0,0,2057.004,7000.98,21,37.55,43,1,68,42.834,36.55,62.203,13638
80,04-07-2025 19:25:55,36,4,0,0,2054.938,7000.98,21,37.195,43,1,68,25.77,25.017,41.319,13634
80,04-07-2025 19:25:56,36,2,0,0,2106.016,7000.98,21,37.171,43,1,71,28.384,32.006,51.156,13652
80,04-07-2025 19:25:57,44,27,5.4,0,2119.152,7000.98,36,149.358,43,0,87,54.124,54.172,77.488,13675
80,04-07-2025 19:25:58,47,95,94.7,1,2116.879,7000.98,96,171.846,43,0,71,73.307,63.322,90.523,13684
80,04-07-2025 19:25:59,48,100,101.9,1,2116.566,7000.98,99,170.363,43,0,71,58.453,33.77,54.024,13665
80,04-07-2025 19:26:00,48,100,100,1,2120.379,7000.98,92,179.8,43,0,69,56.525,36.196,54.004,13699
80,04-07-2025 19:26:01,49,100,103.1,1,2120.379,7000.98,94,172.192,43,0,76,61.038,47.05,68.596,13789
80,04-07-2025 19:26:02,50,95,96.8,1,2120.379,7000.98,97,179.318,43,0,68,48.785,31.43,47.689,13711
80,04-07-2025 19:26:03,51,100,100.7,1,2120.004,7000.98,100,174.125,43,0,71,47.643,30.559,48.758,13690
80,04-07-2025 19:26:04,51,100,105.8,1,2120.223,7000.98,96,176.75,43,0,69,51.179,30.063,47.008,13691
80,04-07-2025 19:26:05,51,100,108.6,1,2117.16,7000.98,95,172.017,43,0,65,47.706,29.281,46.161,13691
80,04-07-2025 19:26:06,52,100,109.8,1,2117.16,7000.98,102,178.21,43,0,70,54.953,41.148,59.658,13729
80,04-07-2025 19:26:07,53,100,108.8,1,2116.969,7000.98,94,178.186,43,0,67,46.567,27.435,45.872,13707
80,04-07-2025 19:26:08,53,100,107.6,1,2116.969,7000.98,100,170.646,43,0,65,42.187,27.637,44.964,13708
80,04-07-2025 19:26:09,54,100,106.9,1,2105.906,7000.98,95,175.101,43,0,63,42.397,28.467,44.889,13708
80,04-07-2025 19:26:10,55,100,108.2,1,2105.305,7000.98,99,178.09,43,0,66,40.432,27.107,44.844,13682
80,04-07-2025 19:26:11,55,100,106.9,1,2100.875,7000.98,98,175.908,43,0,63,41.095,27.273,43.594,13682
80,04-07-2025 19:26:12,56,100,109.3,1,2098.25,7000.98,103,173.311,43,0,69,41.873,26.822,41.435,13682
80,04-07-2025 19:26:13,57,100,110,1,2098.25,7000.98,100,171.099,43,0,64,40.53,25.636,40.688,13678
80,04-07-2025 19:26:14,51,89,113.1,1,1275.813,7000.98,32,56.67,43,0,65,44.262,32.159,48.729,13627
80,04-07-2025 19:26:15,50,9,113.1,0,1591.695,7000.98,30,54.16,43,0,71,43.202,39.945,57.466,13667
80,04-07-2025 19:26:16,48,3,0,0,1636.625,7000.98,21,37.961,43,1,71,22.335,29.089,39.149,13660
80,04-07-2025 19:26:17,47,2,0,0,1682.813,5000.98,16,29.094,43,1,72,29.399,30.66,38.317,13659
80,04-07-2025 19:26:18,47,2,0,0,1727.844,5000.98,16,29.177,43,1,70,16.21,27.821,38.29,13656
80,04-07-2025 19:26:19,46,2,0,1,1774.617,810,10,18.723,43,1,65,16.236,29.51,38.528,13657
80,04-07-2025 19:26:20,45,11,0.1,1,2188.219,810,11,19.299,43,1,67,28.912,34.066,49.711,13638
80,04-07-2025 19:26:21,54,68,51.7,1,2216.137,7000.98,97,169.965,43,0,79,88.27,88.156,118.906,13700
80,04-07-2025 19:26:22,57,100,113.8,1,2214.219,7000.98,101,176.102,43,0,64,42.076,28.868,46.169,13669
80,04-07-2025 19:26:23,57,100,111.8,1,2135.563,7000.98,94,175.086,43,0,68,35.794,27.988,44.026,13657
80,04-07-2025 19:26:24,50,31,111.7,0,1588.59,7000.98,31,55.363,43,0,73,22.942,35.477,52.492,13625
80,04-07-2025 19:26:25,49,4,111.7,0,1637.957,7000.98,22,53.717,43,1,73,16.682,31.586,42.538,13627
80,04-07-2025 19:26:26,48,2,0,0,1689.777,7000.98,21,37.983,43,1,71,13.458,30.394,39.722,13625
80,04-07-2025 19:26:27,47,1,0,0,1924.863,5000.98,17,29.34,43,1,68,20.425,31.202,41.823,13615
80,04-07-2025 19:26:28,46,5,0,1,2062.488,810,10,20.114,43,1,61,13.093,29.257,43.83,13627
80,04-07-2025 19:26:29,56,83,12.8,1,2085.52,7000.98,102,173.206,43,0,75,68.995,72.054,96.157,13641
80,04-07-2025 19:26:30,58,100,112.1,1,2085.52,7000.98,99,170.369,43,0,70,37.675,28.149,46.695,13643
